issue,priority,sku,product,category,field,discrete_value,blob_value,action,url
blob_only,3,"MBBSTR01","Fitness & Balance Trainer","Body Weight","Gross weight","","8 kg","Copy ""8 kg"" into the gross_weight field",/product/fitness-balance-trainer
blob_only,3,"MBBSTR01","Fitness & Balance Trainer","Body Weight","Warranty","","6 months","Copy ""6 months"" into the warranty field",/product/fitness-balance-trainer
blob_only,3,"MBCTDR01","Drop In Core Trainer","Body Weight","Assembled size","","59 x 125 x 400","Copy ""59 x 125 x 400"" into the assembled_size_length/width/height/depth field",/product/drop-in-core-trainer-2
blob_only,3,"MBCTDR01","Drop In Core Trainer","Body Weight","Colour","","Black","Copy ""Black"" into the colour field",/product/drop-in-core-trainer-2
blob_only,3,"MBCTDR01","Drop In Core Trainer","Body Weight","Material","","Steel","Copy ""Steel"" into the material field",/product/drop-in-core-trainer-2
blob_only,3,"MBCTDR01","Drop In Core Trainer","Body Weight","Net weight","","2 kg","Copy ""2 kg"" into the net_weight field",/product/drop-in-core-trainer-2
blob_only,3,"MBCTDR01","Drop In Core Trainer","Body Weight","Gross weight","","3 kg","Copy ""3 kg"" into the gross_weight field",/product/drop-in-core-trainer-2
blob_only,3,"MBCTDR01","Drop In Core Trainer","Body Weight","Warranty","","12 months","Copy ""12 months"" into the warranty field",/product/drop-in-core-trainer-2
blob_only,3,"MBCTWH01","Abdominal Wheel","Body Weight","Assembled size","","300 x 180 x 180","Copy ""300 x 180 x 180"" into the assembled_size_length/width/height/depth field",/product/abdominal-wheel
blob_only,3,"MBCTWH01","Abdominal Wheel","Body Weight","Colour","","Black","Copy ""Black"" into the colour field",/product/abdominal-wheel
blob_only,3,"MBCTWH01","Abdominal Wheel","Body Weight","Material","","PP & TPR","Copy ""PP & TPR"" into the material field",/product/abdominal-wheel
blob_only,3,"MBCTWH01","Abdominal Wheel","Body Weight","Net weight","","2 kg","Copy ""2 kg"" into the net_weight field",/product/abdominal-wheel
